districts,Nurseries,Seedlings (lakh Nos.),Plantation (lakh Nos.)
ADILABAD,78,116,105
BHADRADRI,85,176,160
HYDERABAD,0,360,210
JAGTIAL ,125,149,135
JANGAON ,66,94,85
JAYASHANKAR ,83,127,115
JOGULAMBA ,51,88,80
KAMAREDDY ,130,149,135
KARIMNAGAR ,81,121,110
KHAMMAM ,100,204,185
KOMARAM BHEEM ,36,121,110
MAHABUBABAD,78,127,115
MAHABUBNAGAR,166,220,200
MANCHERIAL ,98,105,95
MEDAK ,122,143,130
MEDCHAL,6,44,40
NAGARKURNOOL ,90,138,125
NALGONDA ,189,220,200
NIRMAL ,95,110,100
NIZAMABAD ,210,205,185
PEDDAPALLI ,36,110,100
RAJANNA ,50,88,80
RANGAREDDY ,94,187,170
SANGAREDDY ,119,220,200
SIDDIPET ,150,220,200
SURYAPET ,99,143,130
VIKARABAD ,94,138,125
WANAPARTHY ,71,88,80
WARANGAL (R) ,69,121,110
WARANGAL (U),34,61,55
YADADRI ,138,143,130
