districts,Nurseries,Seedlings (lakh Nos.),Plantation (lakh Nos.),Nurseries_x_Seedlings (lakh Nos.),Nurseries_x_Plantation (lakh Nos.),Seedlings (lakh Nos.)_x_Plantation (lakh Nos.),Nurseries_squared,Nurseries_cubed,Seedlings (lakh Nos.)_squared,Seedlings (lakh Nos.)_cubed,Plantation (lakh Nos.)_squared,Plantation (lakh Nos.)_cubed,Nurseries_rolling_mean_3,Nurseries_rolling_std_3,Seedlings (lakh Nos.)_rolling_mean_3,Seedlings (lakh Nos.)_rolling_std_3,Plantation (lakh Nos.)_rolling_mean_3,Plantation (lakh Nos.)_rolling_std_3
ADILABAD,78,116,105,9048,8190,12180,6084,474552,13456,1560896,11025,1157625,78.0,,116.0,,105.0,
BHADRADRI,85,176,160,14960,13600,28160,7225,614125,30976,5451776,25600,4096000,81.5,4.949747468305833,146.0,42.42640687119285,132.5,38.89087296526012
HYDERABAD,0,360,210,0,0,75600,0,0,129600,46656000,44100,9261000,54.333333333333336,47.18403684863487,217.33333333333331,127.14296415190788,158.33333333333334,52.51983752196243
JAGTIAL ,125,149,135,18625,16875,20115,15625,1953125,22201,3307949,18225,2460375,70.0,63.83572667401852,228.33333333333331,114.82305227319704,168.33333333333334,38.188130791298654
JANGAON ,66,94,85,6204,5610,7990,4356,287496,8836,830584,7225,614125,63.66666666666666,62.53265813423681,201.0,140.41723540933287,143.33333333333334,62.915286960589576
JAYASHANKAR ,83,127,115,10541,9545,14605,6889,571787,16129,2048383,13225,1520875,91.33333333333331,30.369941279714936,123.33333333333331,27.68272626265948,111.66666666666669,25.16611478423584
JOGULAMBA ,51,88,80,4488,4080,7040,2601,132651,7744,681472,6400,512000,66.66666666666667,16.01041327803043,103.0,21.000000000000085,93.33333333333331,18.929694486000923
KAMAREDDY ,130,149,135,19370,17550,20115,16900,2197000,22201,3307949,18225,2460375,88.0,39.73663297261105,121.33333333333331,30.89228598426049,110.0,27.83882181415012
KARIMNAGAR ,81,121,110,9801,8910,13310,6561,531441,14641,1771561,12100,1331000,87.33333333333333,39.87898360456712,119.33333333333331,30.53413390507969,108.33333333333331,27.53785273643052
KHAMMAM ,100,204,185,20400,18500,37740,10000,1000000,41616,8489664,34225,6331625,103.66666666666669,24.70492528491704,158.0,42.22558466143487,143.33333333333334,38.18813079129867
KOMARAM BHEEM ,36,121,110,4356,3960,13310,1296,46656,14641,1771561,12100,1331000,72.33333333333333,32.86842456421258,148.66666666666666,47.920072342738976,135.0,43.30127018922193
MAHABUBABAD,78,127,115,9906,8970,14605,6084,474552,16129,2048383,13225,1520875,71.33333333333333,32.516662395352526,150.66666666666666,46.28534685333294,136.66666666666666,41.93248541803041
MAHABUBNAGAR,166,220,200,36520,33200,44000,27556,4574296,48400,10648000,40000,8000000,93.33333333333331,66.34254542398364,156.0,55.5067563455117,141.66666666666666,50.5799696849784
MANCHERIAL ,98,105,95,10290,9310,9975,9604,941192,11025,1157625,9025,857375,114.0,46.13025037868319,150.66666666666666,61.04370019365911,136.66666666666666,55.75242894559244
MEDAK ,122,143,130,17446,15860,18590,14884,1815848,20449,2924207,16900,2197000,128.66666666666666,34.486712417006835,156.0,58.59180830116104,141.66666666666666,53.46338310781813
MEDCHAL,6,44,40,264,240,1760,36,216,1936,85184,1600,64000,75.33333333333333,61.2318000170935,97.33333333333331,49.943301185778026,88.33333333333333,45.36885862938732
NAGARKURNOOL ,90,138,125,12420,11250,17250,8100,729000,19044,2628072,15625,1953125,72.66666666666667,59.91104516976257,108.33333333333331,55.77036249956904,98.33333333333331,50.57996968497838
NALGONDA ,189,220,200,41580,37800,44000,35721,6751269,48400,10648000,40000,8000000,95.0,91.60240171523888,134.0,88.068155425216,121.66666666666669,80.05206639015218
NIRMAL ,95,110,100,10450,9500,11000,9025,857375,12100,1331000,10000,1000000,124.66666666666669,55.77036249956904,156.0,57.16642371182584,141.66666666666666,52.0416499866533
NIZAMABAD ,210,205,185,43050,38850,37925,44100,9261000,42025,8615125,34225,6331625,164.66666666666666,61.23996516437074,178.33333333333334,59.6517672272443,161.66666666666666,53.92896562454478
PEDDAPALLI ,36,110,100,3960,3600,11000,1296,46656,12100,1331000,10000,1000000,113.66666666666669,88.48917071220261,141.66666666666666,54.84827557301448,128.33333333333334,49.07477288111818
RAJANNA ,50,88,80,4400,4000,7040,2500,125000,7744,681472,6400,512000,98.66666666666669,96.67126425848238,134.33333333333334,62.17984668148787,121.66666666666669,55.75242894559243
RANGAREDDY ,94,187,170,17578,15980,31790,8836,830584,34969,6539203,28900,4913000,60.0,30.265491900843056,128.33333333333334,51.98397188877874,116.66666666666669,47.25815626252607
